ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
11KGaJ2kOil9ljjqAqpYcv,kass richards,3,103,boston folk,2020,2024,7,1,822
1AAK1j4h0H8pdz4kzW2Bzf,alex grey,39,2320,house,2020,2024,18,1,251011
6WH1V41LwGDGmlPUhSZLHO,autechre,39,221805,"abstract, ambient techno, drill and bass, electronica, glitch, intelligent dance music, uk experimental electronic",2005,2022,20,8,158859
5IYl99kFybVzejVo5MyoRS,morelia,18,3066,bass house,2020,2024,20,1,16050
0UOqHTbsJBICVHcoNKkM0o,zlam,4,1471,ukrainian metal,2012,2016,3,3,591
64IAQ7iZ304OtXBlGmYYJ8,anthony philip heinrich,0,70,"american romanticism, early romantic era",2023,2023,3,1,46
4ucgseWSR35Ri59Rd1vNUb,selen peacock,0,252," jazz , pop ",2016,2022,6,1,118
5KQuLhckFhcox1K9UCgLuV,hyphen hyphen,35,98980,"french indie pop, french indietronica, french rock, nice indie",2017,2023,15,1,125340
0BqOXpkslA5Kxud9UXi2yG,het zesde metaal,33,28027,"belgian rock, kleinkunst",2012,2024,18,1,63176
2kw07cjBdOR3poSopMELsH,daniel menche,1,2156,"ambient industrial, noise, sound art",1994,2022,20,7,219
5zWfZjzFS7dR2spauZgmBg,dragonbreath,0,275,cypriot metal,2014,2021,4,3,34
0u3d5PM2FuEuG5QuUdt8mT,hands like houses,45,276357,"australian metalcore, australian post-hardcore, metalcore, pop punk, screamo",2012,2024,17,5,530506
6oWHblcIn70VfrrF43hWiV,louis fosforito garcia,20,16808,adoracion,1994,2023,20,1,7560
1SHuvdDGVHSHLEqm0Kor0m,stephen j. kroos,6,2146,progressive trance house,2007,2020,20,3,2573
1uIcaflxcqmm1wpuzw9ntf,daniel shake,25,11171,"russian alt pop, russian indie",2012,2022,19,1,33675
2WGyRLosdDgGJTLijIPpNC,memphis minnie,23,43030,"acoustic blues, blues, country blues, memphis blues, traditional blues",1991,2023,20,20,50761
7IAgtmu2mbfjwkqNIeRviN,drakulas,6,2803,punk,2015,2022,8,4,1415
4JathQD0aoyE5WwaIB2JxC,salta la banca,36,106491,argentine rock,2008,2023,16,6,82115
6sOSBnJcsUFtB8ikzpTBhu,miriam spranger,5,161,german singer-songwriter,2010,2022,14,5,396
1t3Ztvll4l7XhrpkePZKfM,anewhite,21,14658,"japanese alternative rock, modern j-rock",2020,2024,16,6,13189
06bDwgCHeMAwhgI8il4Y5k,set it off,62,941454,"electropowerpop, otacore, pixie, pov: indie",2011,2024,20,3,3167905
6zrKBIFW5XAZFKfQt3Aa90,number nine,6,1370,"neo-rockabilly, uk rockabilly",1995,2015,12,1,1356
4Ghf5maidOKDxc8AzoP2cj,brame,12,2536,deep soul house,2012,2014,5,3,9136
4QAlA7rllVYAfTSNAPzUSa,joseph von eichendorff,8,201,german literature,1979,2024,20,1,822
6LamFrklpRBRpydz3Bl7MU,avec silenzi,0,183,brazilian post-rock,2010,2017,5,5,15
4gQXRvD8CKSLIJR09WhrRK,nora shulman,29,560,classical flute,1998,2014,4,19,149977
2FCz6DEIoFeyMd4gm740Nx,david coffin,29,13196,shanty,2000,2021,13,1,86909
24DQLSng7bKZD4GXLIaQbv,percy faith & his orchestra,47,67720,"easy listening, man's orchestra",1966,2023,20,13,810690
7LAxQmb2x5ZXVLn0pEbPH4,ed rome,12,564," blues , reggae , blues ",2005,2024,16,1,8911
0YB8oqF9j8hfq78KwFqLxL,kori linae carothers,6,866,new age piano,2004,2024,11,1,2144
2uE66NiUti6Wpz90SD4eam,fred wesley,40,44324,"jazz trombone, p funk",1990,2023,11,1,403216
0uyD7Ps9A1hvDNpn8IEhYb,the beatstalkers,1,301,soul,2005,2005,1,16,269
0Vz0vgVrclNJlHBLrgjklY,kenny garrett,31,64292,"contemporary post-bop, jazz, jazz saxophone",1990,2024,18,1,84299
59KJ8qRFfNI8f3pd0EoUVo,c-quence,5,675,deep progressive trance,2005,2020,9,2,1825
2HLc0FeE8oz1ykCUkCjWg5,bretus,0,312,italian doom metal,2019,2021,5,5,89
6RKZ4jPQtvn2HA8uJa3ZMF,蔡藍欽,10,2915,"classic mandopop, taiwan campus folk, taiwan singer-songwriter",1987,2011,2,12,3076
5QUEG6gkH6BMeKEV92IJO1,mujercitas terror,7,3524,"argentine punk, post-punk argentina",2007,2019,7,1,1178
17WK6POCn97N1LuPWfE2Xx,peter c. johnson,0,67,soul,2004,2007,2,11,25
530iy3GzOTqWe9LEeiZuDO,dumbo gets mad,37,66471,"indie garage rock, neo-psychedelic, psychedelic pop",2011,2023,9,1,235354
5fDiPm7RFIZx73fNwnLOxR,ramesh,24,24843,classic persian pop,1995,2024,20,1,26418
5ujCegv1BRbEPTCwQqFk6t,john fogerty,51,860728,"album rock, blues rock, classic rock, country rock, folk rock, heartland rock, mellow gold, singer-songwriter, soft rock, southern rock, swamp rock",1973,2022,20,1,1420175
39w1ijjuCJ9oEOwkzAZBEA,end you,0,251,punk,2021,2021,1,12,37
034u8Qcs47NHkRQXaWkLXW,morgxn,39,45209,la pop,2018,2024,20,1,263738
6jwzGu5VdkR5tsRROYuxso,drefgold,50,550021,"italian hip hop, italian pop, trap italiana",2017,2024,18,1,499552
2WTJqHPOzOupBKU0XxBI7R,terra diablo,0,138,scottish rock,2007,2007,1,12,81
